Arctic	An_Pen	An_Cont
Unk_Monomastigaceae_A	0	1	0
Pseudococcomyxa	1	1	1
Nannochloris	1	1	1
Marvania	1	1	1
Muriella	1	1	1
Unk_Chlorellales	1	1	1
Auxenochlorella	1	1	1
Chlorella	1	1	1
Pseudochlorella	1	1	1
Dictyosphaerium	1	1	1
Picochlorum	1	1	0
Apatococcus	0	1	0
Desmococcus	1	1	1
Elliptochloris	1	1	1
Prasiolales	1	1	1
Stichococcus	1	1	1
Prasiola	1	1	1
Pseudostichococcus	1	1	1
Rosenvingiella	0	1	1
Unk_Microthamniales	1	1	1
Microthamnion	0	1	1
Trebouxia	1	1	1
Myrmecia	1	1	1
Xylochloris	1	1	1
Asterochloris	1	1	1
Dictyochloropsis	1	1	1
Parietochloris	1	1	1
Chloroidium	1	1	1
Watanabea	1	1	1
Leptosira	1	1	1
Unk_Trebouxiophyceae	1	1	1
Coccomyxa	1	1	1
Choricystis	0	1	0
Coccobotrys	1	1	1
Neocystis	1	1	1
Characium	1	1	1
Scenedesmus	1	1	1
Bracteacoccus	1	1	1
Dictyococcus	1	1	0
Desmodesmus	0	1	0
Radiococcus	0	1	1
Unk_Chlamydomonadales	1	1	1
Chloromonas	1	1	1
Chlamydomonas	1	1	1
Chlorosarcina	1	1	0
Ettlia	0	1	0
Heterochlamydomonas	1	0	0
Chlorogonium	0	1	0
Lobosphaeropsis	1	0	0
Trentepohlia	1	1	1
Planophila	1	1	1
Pseudendoclonium	1	1	1
Scotinosphaera	1	1	1
