;1A_Sv;1B_Sv;1C_Sv;1D_Sv;1E_Sv;2A_Sv;2B_Sv;2C_Sv;2D_Sv;2E_Sv;3A_Sv;3B_Sv;3C_Sv;3D_Sv;3E_Sv;4A_Sv;4B_Sv;4C_Sv;4D_Sv;4E_Sv;5A_Sv;5B_Sv;5C_Sv;5D_Sv;5E_Sv;6A_Sv;6B_Sv;6C_Sv;6D_Sv;6E_Sv;7A_Sv;7B_Sv;7C_Sv;7D_Sv;7E_Sv;8A_Sv;8B_Sv;8C_Sv;8D_Sv;8E_Sv;9A_Sv;9B_Sv;9C_Sv;9D_Sv;9E_Sv;BIO1_1_An;BIO1_2_An;BIO1_3_An;BIO1_4_An;BIO1_5_An;BIO2_1_An;BIO2_2_An;BIO2_3_An;BIO2_4_An;BIO2_5_An;BIO3_1_An;BIO3_2_An;BIO3_3_An;BIO3_4_An;BIO3_5_An;BIO4_1_An;BIO4_2_An;BIO4_3_An;BIO4_4_An;BIO4_5_An;C2_1_An;C2_2_An;C2_3_An;C2_4_An;C2_5_An;C3_1_An;C3_2_An;C3_3_An;C3_4_An;C3_5_An;C3_6_An;C4_1_An;C4_2_An;C4_3_An;C4_4_An;C4_5_An;K5_1_An;K5_2_An;K5_3_An;K5_4_An;K5_5_An;K6_1_An;K6_2_An;K6_3_An;K6_4_An;K6_5_An;K7_1_An;K7_2_An;K7_3_An;K7_4_An;K7_5_An;K9_1_An;K9_2_An;K9_3_An;K9_4_An;K9_5_An;Me1_1_An;Me1_2_An;Me1_3_An;Me1_4_An;Me1_5_An;Me2_1_An;Me2_2_An;Me2_3_An;Me2_4_An;Me2_5_An;Me3_1_An;Me3_2_An;Me3_3_An;Me3_4_An;Me3_5_An
1_Novel-Gran-1_X;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;26;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2_Clathrulinidae_X;43;0;0;0;57;0;0;23;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;24;0;0;0;25;21;0;0;0;24;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3_Clathrulinidae_X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4_Novel-Gran-234_X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0;0;0;33;79;144;0;0;0;0;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;65;0
5_Novel-Gran-234_X;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;94;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6_Novel-Gran-234_X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7_Novel-Gran-5_X;0;0;42;0;0;0;0;0;24;46;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8_Novel-Gran-6_X;0;0;0;0;0;0;37;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;2082;687;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;360;946;41;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9_Novel-Gran-6_X;0;0;0;0;90;0;0;0;0;0;0;36;25;0;0;0;33;0;0;140;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;56;0;25;0;0;0;0;0;0;0;0;24;0;0;0;0;195;0;0;0;0;0;0;0;0;64;0;25;144;25;141;120;421;23;0;0;0;0;0;123;0;258;0;58;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0
10_Novel-Gran-6_X;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;34;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
