;1A_Sv;1B_Sv;1C_Sv;1D_Sv;1E_Sv;2A_Sv;2B_Sv;2C_Sv;2D_Sv;2E_Sv;3A_Sv;3B_Sv;3C_Sv;3D_Sv;3E_Sv;4A_Sv;4B_Sv;4C_Sv;4D_Sv;4E_Sv;5A_Sv;5B_Sv;5C_Sv;5D_Sv;5E_Sv;6A_Sv;6B_Sv;6C_Sv;6D_Sv;6E_Sv;7A_Sv;7B_Sv;7C_Sv;7D_Sv;7E_Sv;8A_Sv;8B_Sv;8C_Sv;8D_Sv;8E_Sv;9A_Sv;9B_Sv;9C_Sv;9D_Sv;9E_Sv;BIO1_1_An;BIO1_2_An;BIO1_3_An;BIO1_4_An;BIO1_5_An;BIO2_1_An;BIO2_2_An;BIO2_3_An;BIO2_4_An;BIO2_5_An;BIO3_1_An;BIO3_2_An;BIO3_3_An;BIO3_4_An;BIO3_5_An;BIO4_1_An;BIO4_2_An;BIO4_3_An;BIO4_4_An;BIO4_5_An;C2_1_An;C2_2_An;C2_3_An;C2_4_An;C2_5_An;C3_1_An;C3_2_An;C3_3_An;C3_4_An;C3_5_An;C3_6_An;C4_1_An;C4_2_An;C4_3_An;C4_4_An;C4_5_An;K5_1_An;K5_2_An;K5_3_An;K5_4_An;K5_5_An;K6_1_An;K6_2_An;K6_3_An;K6_4_An;K6_5_An;K7_1_An;K7_2_An;K7_3_An;K7_4_An;K7_5_An;K9_1_An;K9_2_An;K9_3_An;K9_4_An;K9_5_An;Me1_1_An;Me1_2_An;Me1_3_An;Me1_4_An;Me1_5_An;Me2_1_An;Me2_2_An;Me2_3_An;Me2_4_An;Me2_5_An;Me3_1_An;Me3_2_An;Me3_3_An;Me3_4_An;Me3_5_An
1_Unk_Monomastigaceae_A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;114;0;143;0;1694;68;71;0;1284;67;89;107;67;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2_Auxenochlorella_sp;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;152;0;0;129;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;53;0;42;44;89;1730;421;2170;3010;263;0;97;277;221;1156;27;873;56;232;98;1082;149;264;285;781;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0
3_Auxenochlorella_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;31;58;56;127;1293;435;1739;1782;348;0;78;242;167;640;35;637;47;179;58;442;133;165;192;456;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4_Auxenochlorella_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;21;82;55;0;0;0;0;0;38;0;76;0;21;0;51;0;0;25;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Auxenochlorella_protothecoides;0;0;0;0;0;0;0;0;0;0;91;73;26;26;47;43;26;42;48;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0
6_Chlorella_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;48;0;0;0;30;0;0;0;0;29;0;0;0;0;0;0;51;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;38;116;0;0;0;0;0;0;0;0;36;22;28;0;35;187;298;0;278;797;550;941;1100;50;0;0;0;0;230;333;0;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7_Chlorella_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;30;67;0;0;87;212;65;213;115;0;0;0;0;0;52;59;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8_Chlorella_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;41;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9_Unk_Chlorellales;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;71;26;24;0;86;0;0;29;25;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;22;0;124;0;0;0;0;0;0;0;0;0;114;0;75;70;25;73;78;102;14829;60;101;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0
10_Unk_Chlorellales;0;23;0;0;0;0;0;0;0;0;21;160;31;0;0;37;40;22;24;0;0;0;0;0;0;0;0;0;0;0;0;0;35;41;0;140;0;41;131;60;0;0;0;69;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;24;0;0;0;580;72;686;585;462;116;131;49;43;0;0;0;0;21;0;0;39;43;0;0;0;0;31;21;0;43;41;99;78;60;111;25;35;0;0;26;0;0;0;54;0;149;735;382;1029;576;70;256;407;86;313
11_Unk_Chlorellales;0;0;0;0;0;0;0;0;0;0;230;156;49;62;138;66;33;120;49;36;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;49;0;111;118;0;0;0;0;0;0;76;0;0;0;97;0;146;0;0;207;0;68;27;36;525;647;542;711;328;0;23;100;66;165;0;25;0;0;0;381;24;0;24;21;67;0;0;0;0;0;0;38;0;44;47;0;0;0;0;0;31;93;0;0;21;0;0;0;0;0;38;22;0;139;35;0;0;0;0;0
12_Unk_Chlorellales;0;0;0;0;76;0;0;0;0;0;116;83;55;54;256;132;103;162;57;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;68;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;32;218;0;0;0;0;0;0;0;0;28;35;107;0;0;0;0;0;27;83;0;144;0;0;346;0;163;0;186;418;0;0;143;0;0;0;0;0;0;0;0;34;45;0;0;0;0;0
13_Unk_Chlorellales;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;21;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;52;41;32;29;55;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;27;91;42;0;0;41;0;29
14_Unk_Chlorellales;0;0;0;0;0;0;0;0;0;0;30;24;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;257;142;63;261;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15_Unk_Chlorellales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;32;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;63;49;0;0;28;0;0
16_Unk_Chlorellales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;31;48;36;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0
