;Kingdom;Supergroup;Phylum;Class;Order;Family;Genus;Species
1_Novel-Gran-1_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Cryptofilida;Novel-Gran-1;Novel-Gran-1_X;Novel-Gran-1_X
2_Clathrulinidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Clathrulinidae;Clathrulinidae_X;Clathrulinidae_X
3_Clathrulinidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Desmothoracida;Clathrulinidae;Clathrulinidae_X;Clathrulinidae_X
4_Novel-Gran-234_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Novel-Gran-234_X
5_Novel-Gran-234_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Novel-Gran-234_X
6_Novel-Gran-234_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Novel-Gran-234_X
7_Novel-Gran-5_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-5;Novel-Gran-5_X;Novel-Gran-5_X
8_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
9_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
10_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
11_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
12_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
13_Novel-Gran-6_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Granofilosea_X;Novel-Gran-6;Novel-Gran-6_X;Novel-Gran-6_X
14_Limnofila_anglica;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofila;Limnofila_anglica
15_Limnofila_anglica;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofila;Limnofila_anglica
16_Limnofila_anglica;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofila;Limnofila_anglica
17_Limnofila_longa;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofila;Limnofila_longa
18_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
19_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
20_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
21_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
22_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
23_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
24_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
25_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
26_Limnofilidae_X;Eukaryota;Rhizaria;Cercozoa;Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X
27_Cavernomonas_stercoris;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cavernomonas;Cavernomonas_stercoris
28_Cavernomonas_stercoris;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cavernomonas;Cavernomonas_stercoris
29_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
30_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
31_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
32_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
33_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
34_Cercomonadidae_X;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonadidae_X;Cercomonadidae_X
35_Cercomonas_braziliensis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_braziliensis
36_Cercomonas_braziliensis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_braziliensis
37_Cercomonas_braziliensis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_braziliensis
38_Cercomonas_braziliensis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_braziliensis
39_Cercomonas_celer;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_celer
40_Cercomonas_celer;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_celer
41_Cercomonas_celer;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_celer
42_Cercomonas_celer;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_celer
43_Cercomonas_clavideferens;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_clavideferens
44_Cercomonas_clavideferens;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_clavideferens
45_Cercomonas_mtoleri;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_mtoleri
46_Cercomonas_plasmodialis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_plasmodialis
47_Cercomonas_plasmodialis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_plasmodialis
48_Cercomonas_plasmodialis;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_plasmodialis
49_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
50_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
51_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
52_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
53_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
54_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
55_Cercomonas_sp;Eukaryota;Rhizaria;Cercozoa;Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp
