;Kingdom;Supergroup;Phylum;Class;Order;Family;Genus;Species
12_Spumella_vulgaris;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_vulgaris
16_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
18_Spumella_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_sp
19_Spumella_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_sp
24_Eunotia_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Eunotia;Eunotia_sp
29_Hantzschia_amphioxys;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Hantzschia;Hantzschia_amphioxys
33_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
39_Tabellaria_flocculosa;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid_pennate;Tabellaria;Tabellaria_flocculosa
42_Achnanthes_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Achnanthes;Achnanthes_sp
43_Nitzschia_frustulum;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Nitzschia;Nitzschia_frustulum
58_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
60_Ochromonas_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Ochromonas;Ochromonas_sp
65_Ochromonas_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Ochromonas;Ochromonas_sp
68_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
74_Chrysophyceae_Clade_B2_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_B2;Chrysophyceae_Clade_B2_X;Chrysophyceae_Clade_B2_X_sp
89_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
91_Botrydiopsis_callosa;Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX;Botrydiopsis;Botrydiopsis_callosa
96_Chrysophyceae_XXX_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_XX;Chrysophyceae_XXX;Chrysophyceae_XXX_sp
100_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
102_Spumella_vulgaris;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_vulgaris
104_Chromophyton_rosanoffii;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_E;Chromophyton;Chromophyton_rosanoffii
108_Heterococcus_sp;Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX;Heterococcus;Heterococcus_sp
114_Eunotia_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Eunotia;Eunotia_sp
115_Nitzschia_bizertensis;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Nitzschia;Nitzschia_bizertensis
125_Achnanthidium_coarctatum;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Achnanthidium;Achnanthidium_coarctatum
126_Chrysophyceae_XXX_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_XX;Chrysophyceae_XXX;Chrysophyceae_XXX_sp
129_Pinnularia_borealis;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Pinnularia;Pinnularia_borealis
132_Spumella_vulgaris;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_vulgaris
137_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
138_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
142_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
145_Chrysophyceae_Clade_E_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_E;Chrysophyceae_Clade_E_X;Chrysophyceae_Clade_E_X_sp
153_Chrysophyceae_Clade_F_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_F;Chrysophyceae_Clade_F_X;Chrysophyceae_Clade_F_X_sp
160_Botrydiopsis_constricta;Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX;Botrydiopsis;Botrydiopsis_constricta
169_Fragilaria_bidens;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid_pennate;Fragilaria;Fragilaria_bidens
176_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
180_Eunotia_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Eunotia;Eunotia_sp
186_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
191_Spumella_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_sp
196_Tabellaria_flocculosa;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Araphid_pennate;Tabellaria;Tabellaria_flocculosa
202_Navicula_cryptocephala;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Navicula;Navicula_cryptocephala
203_Pseudopleurochloris_antarctica;Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX;Pseudopleurochloris;Pseudopleurochloris_antarctica
211_Chrysamoeba_tenera;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_B2;Chrysamoeba;Chrysamoeba_tenera
216_Spumella_vulgaris;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_vulgaris
225_Pinnularia_borealis;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Pinnularia;Pinnularia_borealis
226_Raphid_pennate_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid_pennate;Raphid_pennate_X;Raphid_pennate_X_sp
230_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
232_Spumella_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_sp
237_Chrysophyceae_Clade_D_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_D;Chrysophyceae_Clade_D_X;Chrysophyceae_Clade_D_X_sp
240_Ochromonas_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Ochromonas;Ochromonas_sp
247_Botryidiopsidaceae_sp;Eukaryota;Stramenopiles;Ochrophyta;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX;Botryidiopsidaceae;Botryidiopsidaceae_sp
249_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
253_Chrysophyceae_Clade_D_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_D;Chrysophyceae_Clade_D_X;Chrysophyceae_Clade_D_X_sp
255_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
261_Spumella_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Spumella;Spumella_sp
263_Chrysophyceae_Clade_C_X_sp;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Chrysophyceae_Clade_C_X;Chrysophyceae_Clade_C_X_sp
