;Kingdom;Supergroup;Phylum;Class;Order;Family;Genus;Species
1_Unk_Monomastigaceae_A;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Monomastigales;Monomastigaceae;Unk_Monomastigaceae_A;Unk_Monomastigaceae_A
2_Auxenochlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella_sp
3_Auxenochlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella_sp
4_Auxenochlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella_sp
5_Auxenochlorella_protothecoides;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Auxenochlorella;Auxenochlorella_protothecoides
6_Chlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella_sp
7_Chlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella_sp
8_Chlorella_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella;Chlorella_sp
9_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
10_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
11_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
12_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
13_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
14_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
15_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
16_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
17_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
18_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
19_Unk_Chlorellales;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Unk_Chlorellales;Unk_Chlorellales
20_Coccobotrys_mucosus;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Coccobotrys;Coccobotrys_mucosus
21_Coccobotrys_mucosus;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Coccobotrys;Coccobotrys_mucosus
22_Dictyosphaerium_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Dictyosphaerium;Dictyosphaerium_sp
23_Dictyosphaerium_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Dictyosphaerium;Dictyosphaerium_sp
24_Marvania_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Marvania;Marvania_sp
25_Marvania_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Marvania;Marvania_sp
26_Muriella_terrestris;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Muriella;Muriella_terrestris
27_Nannochloris_normandinae;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris_normandinae
28_Neocystis_brevis;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Radiococcaceae;Neocystis;Neocystis_brevis
29_Neocystis_sp;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Radiococcaceae;Neocystis;Neocystis_sp
30_Neocystis_brevis;Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Radiococcaceae;Neocystis;Neocystis_brevis
31_Parietochloris_alveolaris;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiales;Parietochloris;Parietochloris_alveolaris
32_Parietochloris_cohaerens;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiales;Parietochloris;Parietochloris_cohaerens
33_Parietochloris_alveolaris;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiales;Parietochloris;Parietochloris_alveolaris
34_Picochlorum_eukaryotum;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales;Picochlorum;Picochlorum_eukaryotum
35_Desmococcus_olivaceus;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcaceae;Desmococcus;Desmococcus_olivaceus
36_Desmococcus_olivaceus;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcaceae;Desmococcus;Desmococcus_olivaceus
37_Desmococcus_olivaceus;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcaceae;Desmococcus;Desmococcus_olivaceus
38_Desmococcus_olivaceus;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Stichococcaceae;Desmococcus;Desmococcus_olivaceus
39_Elliptochloris_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_sp
40_Elliptochloris_subsphaerica;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_subsphaerica
41_Elliptochloris_bilobata;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_bilobata
42_Elliptochloris_reniformis;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_reniformis
43_Elliptochloris_subsphaerica;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_subsphaerica
44_Elliptochloris_subsphaerica;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_subsphaerica
45_Elliptochloris_marina;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_marina
46_Elliptochloris_sp;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Prasiolales;Prasiolales;Elliptochloris;Elliptochloris_sp
