names_site	set	sample	rep	uniqsample
1A_Sv	Arctic	1	A	Arctic_1
1B_Sv	Arctic	1	B	Arctic_1
1C_Sv	Arctic	1	C	Arctic_1
1D_Sv	Arctic	1	D	Arctic_1
1E_Sv	Arctic	1	E	Arctic_1
2A_Sv	Arctic	2	A	Arctic_2
2B_Sv	Arctic	2	B	Arctic_2
2C_Sv	Arctic	2	C	Arctic_2
2D_Sv	Arctic	2	D	Arctic_2
2E_Sv	Arctic	2	E	Arctic_2
3A_Sv	Arctic	3	A	Arctic_3
3B_Sv	Arctic	3	B	Arctic_3
3C_Sv	Arctic	3	C	Arctic_3
3D_Sv	Arctic	3	D	Arctic_3
3E_Sv	Arctic	3	E	Arctic_3
4A_Sv	Arctic	4	A	Arctic_4
4B_Sv	Arctic	4	B	Arctic_4
4C_Sv	Arctic	4	C	Arctic_4
4D_Sv	Arctic	4	D	Arctic_4
4E_Sv	Arctic	4	E	Arctic_4
5A_Sv	Arctic	5	A	Arctic_5
5B_Sv	Arctic	5	B	Arctic_5
5C_Sv	Arctic	5	C	Arctic_5
5D_Sv	Arctic	5	D	Arctic_5
5E_Sv	Arctic	5	E	Arctic_5
6A_Sv	Arctic	6	A	Arctic_6
6B_Sv	Arctic	6	B	Arctic_6
6C_Sv	Arctic	6	C	Arctic_6
6D_Sv	Arctic	6	D	Arctic_6
6E_Sv	Arctic	6	E	Arctic_6
7A_Sv	Arctic	7	A	Arctic_7
7B_Sv	Arctic	7	B	Arctic_7
7C_Sv	Arctic	7	C	Arctic_7
7D_Sv	Arctic	7	D	Arctic_7
7E_Sv	Arctic	7	E	Arctic_7
8A_Sv	Arctic	8	A	Arctic_8
8B_Sv	Arctic	8	B	Arctic_8
8C_Sv	Arctic	8	C	Arctic_8
8D_Sv	Arctic	8	D	Arctic_8
8E_Sv	Arctic	8	E	Arctic_8
9A_Sv	Arctic	9	A	Arctic_9
9B_Sv	Arctic	9	B	Arctic_9
9C_Sv	Arctic	9	C	Arctic_9
