"Otu00001"	"Otu00002"	"Otu00003"	"Otu00004"	"Otu00005"	"Otu00006"	"Otu00008"	"Otu00009"	"Otu00010"	"Otu00011"	"Otu00012"	"Otu00013"	"Otu00014"	"Otu00015"	"Otu00017"	"Otu00018"	"Otu00020"	"Otu00021"	"Otu00022"	"Otu00025"	"Otu00026"	"Otu00027"	"Otu00028"	"Otu00029"	"Otu00030"	"Otu00033"	"Otu00034"	"Otu00035"	"Otu00036"	"Otu00037"	"Otu00038"	"Otu00039"	"Otu00040"	"Otu00042"	"Otu00043"	"Otu00044"	"Otu00045"	"Otu00047"	"Otu00048"	"Otu00050"	"Otu00051"	"Otu00052"	"Otu00053"	"Otu00055"	"Otu00056"	"Otu00058"	"Otu00059"	"Otu00060"	"Otu00061"	"Otu00064"	"Otu00066"	"Otu00069"	"Otu00071"	"Otu00073"	"Otu00074"	"Otu00075"	"Otu00078"	"Otu00081"	"Otu00086"	"Otu00090"	"Otu00094"	"Otu00095"	"Otu00098"	"Otu00099"	"Otu00102"	"Otu00104"	"Otu00108"	"Otu00109"	"Otu00111"	"Otu00112"	"Otu00114"	"Otu00117"	"Otu00119"	"Otu00120"	"Otu00124"	"Otu00125"	"Otu00126"	"Otu00128"	"Otu00129"	"Otu00132"	"Otu00137"	"Otu00138"	"Otu00139"	"Otu00140"	"Otu00141"	"Otu00142"	"Otu00144"	"Otu00145"	"Otu00147"	"Otu00148"	"Otu00154"	"Otu00155"	"Otu00156"	"Otu00157"	"Otu00158"	"Otu00160"	"Otu00164"	"Otu00166"	"Otu00168"	"Otu00169"	"Otu00171"	"Otu00176"	"Otu00177"	"Otu00178"	"Otu00179"	"Otu00181"	"Otu00184"	"Otu00187"	"Otu00189"	"Otu00190"	"Otu00191"	"Otu00197"	"Otu00200"	"Otu00201"	"Otu00202"	"Otu00204"	"Otu00205"	"Otu00206"	"Otu00208"	"Otu00210"	"Otu00211"	"Otu00217"	"Otu00218"	"Otu00220"	"Otu00223"	"Otu00224"	"Otu00232"	"Otu00233"	"Otu00236"	"Otu00241"	"Otu00245"	"Otu00246"	"Otu00253"	"Otu00256"	"Otu00259"	"Otu00260"	"Otu00262"	"Otu00263"	"Otu00265"	"Otu00266"	"Otu00267"	"Otu00268"	"Otu00269"	"Otu00271"	"Otu00274"	"Otu00279"	"Otu00281"	"Otu00285"	"Otu00286"	"Otu00287"	"Otu00289"	"Otu00293"	"Otu00294"	"Otu00298"	"Otu00303"	"Otu00305"	"Otu00309"	"Otu00318"	"Otu00320"	"Otu00321"	"Otu00326"	"Otu00329"	"Otu00330"	"Otu00333"	"Otu00334"	"Otu00340"	"Otu00341"	"Otu00342"	"Otu00345"	"Otu00349"	"Otu00352"	"Otu00354"	"Otu00355"	"Otu00361"	"Otu00363"	"Otu00364"	"Otu00365"	"Otu00366"	"Otu00369"	"Otu00373"	"Otu00374"	"Otu00377"	"Otu00378"	"Otu00390"	"Otu00394"	"Otu00402"	"Otu00405"	"Otu00411"	"Otu00416"	"Otu00426"	"Otu00434"
"1A_Sv"	0.0211977983753811	0.00214842551101835	0.0675219446320054	0.0247375851697256	0.0610971292942934	0.209481717921961	0.103042579747509	0.228940314693184	0.101712602050212	0.00257811061322202	0.00386716591983304	0.00104352096249463	0.000695680641663086	0.00454238536615309	0.00268041658993718	0.000429685102203671	0.00145274486935527	0.0131565486055695	0.00859370204407341	0.00752971988623575	0.0343952693716367	0	0	0	0.049352403167393	0	0	0.0200928938268574	0.000613835860290958	0	0.00738649151883453	0	0	0	0	0	0	0.00149366726004133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527898839850224	0	0	0	0	0	0	0.00227119268307655	0	0.00190289116690197	0	0	0	0	0	0.000470607492889735	0	0	0	0	0	0	0	0	0	0	0	0	0.00165735682278559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000777525423035214	0	0	0	0	0	0	0	0.00149366726004133	0.00116628813455282	0	0	0	0.000797986618378246	0	0	0	0	0	0	0	0.00083890900906431	0	0.000593374664947926	0	0	0	0	0	0.00135043889264011	0	0	0	0	0	0	0	0	0	0	0	0	0.00161643443209952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1B_Sv"	0.0556392487697097	0.00257105553881691	0.283278095811992	0.0324796625489605	0.167861805764789	0.0865722607211007	0.166516018881189	0.0214723310234006	0.0510193833483981	0.00576478859094105	0.0104850858692377	0.00150647785477553	0.00470021090689967	0.0230390679923672	0.0048006427638847	0	0.00275183288138998	0.0122125138093803	0.00277191925278698	0.000883800341468314	0.00622677513307221	0	0	0	0.0105654313548258	0.000502159284925178	0.0005624183991162	0.00152656422617254	0.00102440494124736	0	0.0135583006929798	0	0	0.00042181379933715	0.000944059455659335	0	0	0.00833584412975796	0	0	0.000461986542131164	0	0	0	0	0	0	0	0	0	0	0	0.00351511499447625	0	0	0.00178768705433363	0	0.00150647785477553	0	0.00279200562418399	0	0.00170734156874561	0	0	0.00293261022396304	0.000582504770513207	0	0	0	0	0.000682936627498242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622677513307221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000482072913528171	0	0.000441900170734157	0	0	0	0	0	0	0	0	0	0	0	0.000522245656322185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000542332027719193	0	0	0	0	0	0	0	0	0	0.00100431856985036	0.00042181379933715	0	0	0	0	0	0	0	0	0	0	0	0	0
"1C_Sv"	0.067094227923039	0.013320177602368	0.109028120374938	0.0606808090774544	0.0966946225949679	0.0981746423285644	0.0952146028613715	0.11248149975333	0.0542673902318698	0.0143068574247657	0.0123334977799704	0.0113468179575728	0	0.0167735569807597	0	0	0.0226936359151455	0	0.0710409472126295	0.0537740503206709	0.0231869758263444	0	0	0	0.0335471139615195	0	0	0	0	0	0.0340404538727183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1D_Sv"	0.0418268143793805	0.0119828170924712	0.161654985304092	0.0700881754465295	0.111236717160298	0.129550079131811	0.15057653176577	0.0666968121184716	0.0637576305674881	0.00859145376441329	0.0101740899841736	0	0	0.0217047252995704	0	0	0.00610445399050418	0.00678272665611576	0.0339136332805788	0	0.0153741804205291	0	0	0	0.0101740899841736	0	0	0.00768709021026453	0	0	0.0370789057200995	0	0	0	0	0	0	0.00904363554148768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0124349988695456	0	0	0	0	0	0	0	0	0	0.00768709021026453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00587836310196699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1E_Sv"	0.0258244370488827	0.00674244716255349	0.148247395945888	0.240718329947703	0.0323075593205688	0.106863465444958	0.21772485629079	0.0154298310066128	0.024333318926395	0.00365215887971647	0.00522971863249341	0.00116696200890349	0.00663439512469205	0.00834161732290271	0.00194493668150581	0	0.0016423909754938	0.0290659981847258	0.00477590007347539	0.000691533042313178	0.016121364048926	0.000518649781734884	0.000605091412024031	0	0.0289579461468643	0	0	0.00849289017590872	0	0	0.00892509832735445	0	0	0.000583481004451744	0.00432208151445736	0.00095085793318062	0	0.000453818559018023	0	0.00129662445433721	0	0	0	0	0	0	0	0	0	0	0	0	0.00274452176168043	0	0	0.0143493106279984	0.0016423909754938	0	0	0.00356571724942732	0	0.00395470458572849	0	0	0.000713143449885465	0.00259324890867442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000648312227168604	0	0	0	0	0.000929247525608333	0	0.000453818559018023	0	0.000626701819596318	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00317672991312616	0	0	0	0.000626701819596318	0	0	0	0.000583481004451744	0	0	0	0	0	0	0	0	0.00095085793318062	0	0	0	0.000777974672602325	0	0	0	0	0	0	0	0.00179366382849981	0	0.00138306608462636	0	0	0	0.00095085793318062	0.000453818559018023	0	0	0	0	0	0	0	0	0.00125340363919264	0	0.00133984526948178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000583481004451744	0	0	0	0.000626701819596318	0	0	0	0	0	0	0	0	0	0.000713143449885465	0	0	0	0	0	0	0	0	0	0
"2A_Sv"	0.0142245989304813	0.0040855614973262	0.115122994652406	0.00641711229946524	0.0688342245989305	0.12275935828877	0.317133689839572	0.0276363636363636	0.070951871657754	0.00192513368983957	0.0102245989304813	0.000470588235294118	0.00757219251336898	0.0103529411764706	0.000663101604278075	0	0.0012192513368984	0.0103743315508021	0.00226737967914439	0	0.0317219251336898	0	0.000556149732620321	0	0.00817112299465241	0	0	0.000855614973262032	0	0	0.088192513368984	0	0	0	0	0.00305882352941176	0	0.0181604278074866	0	0.000620320855614973	0	0	0	0	0	0	0	0	0	0	0	0	0.0080855614973262	0	0	0	0	0	0	0.00750802139037433	0	0.00515508021390374	0	0	0.0221176470588235	0	0	0.000491978609625668	0	0	0.000770053475935829	0	0	0	0	0	0	0	0	0	0.000556149732620321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013903743315508	0	0	0	0.00216042780748663	0	0	0	0	0	0	0	0	0	0	0	0	0.000470588235294118	0	0	0	0	0	0	0	0.00192513368983957	0	0.000855614973262032	0	0	0	0.000663101604278075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000620320855614973	0	0.00316577540106952	0	0	0	0.000491978609625668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2B_Sv"	0.0718515594157126	0.0100013159626267	0.181372549019608	0.0169759178839321	0.138801158047111	0.0701079089353862	0.275891564679563	0.00835636267929991	0.0367153572838531	0.00417818133964995	0.00842216081063298	0.00753388603763653	0	0.0290498749835505	0.00134886169232794	0.00177654954599289	0.00500065798131333	0.0044084747993157	0.00355309909198579	0.00141465982366101	0.0105606000789578	0.000855375707329912	0	0.00105277010132912	0.00292801684432162	0.00681010659297276	0	0.00213843926832478	0.000921173838662982	0	0.0716870640873799	0	0	0	0	0	0	0.0129622318726148	0	0	0	0	0	0.00421108040531649	0	0	0	0	0	0	0	0	0.00457297012764837	0	0	0	0	0	0	0	0	0	0	0	0.00240163179365706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115146729832873	0	0	0	0	0	0	0	0	0	0.000986971969996052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2C_Sv"	0.0692794932699921	0.014383742412246	0.15993665874901	0.0266561097915017	0.158353127474268	0.145816838215888	0.107152282924254	0.0325943520717868	0.0616257587754025	0.0102929532858274	0.010820797044075	0	0.00303510160992346	0.0213776722090261	0.00738981261546582	0	0.00422275006598047	0.00804961731327527	0	0.00580628134072315	0.00976510952757984	0	0	0	0.026260226972816	0	0	0.00316706254948535	0	0.0164951174452362	0.0471100554235946	0	0	0	0	0.00791765637371338	0	0.0101609923462655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00804961731327527	0	0	0	0	0	0	0	0	0	0	0	0.0100290314067036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712589073634204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712589073634204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2D_Sv"	0.0853364065415432	0.0166831302820766	0.221545384699813	0.0251344528591812	0.194929206453737	0.0397321918559982	0.10306223246625	0.0666227636922402	0.0578421688069367	0.00993304796399956	0.0212380638788278	0.0042256612885523	0.0016463615409944	0.0345187136428493	0.00208539128525958	0.00482932718691691	0	0.00521347821314894	0	0.00225002743935902	0.0066952036000439	0.00197563384919328	0	0.00477444846888377	0.00450005487871803	0	0.00137196795082867	0.00137196795082867	0.00131708923279552	0	0.0335857754362858	0	0.00126221051476238	0	0	0.00943913950170124	0	0.0177807046427395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312808692788936	0	0	0	0	0	0	0	0	0	0	0	0.00773789924267369	0	0	0	0.00115245307869608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389638898035342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00318296564592251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2E_Sv"	0.0130893704082582	0.00409188133544127	0.402562075699805	0.00802101739049568	0.151818097275179	0.0159257881521436	0.0120199014228587	0.0199944201618153	0.213824049102576	0.03794289965591	0.00332465358504603	0	0.000674230447317028	0.0462429089556403	0	0	0.000511485166930159	0.00111596763693853	0.0105319445736074	0.00102297033386032	0.00385938807774575	0	0	0.00234818190272482	0.00118571561424719	0	0	0.000836975727703897	0	0	0.0299218822654143	0	0	0	0	0.000790477076164791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00711429368548312	0	0	0	0	0	0	0	0	0	0	0.0104621965962987	0	0	0.000767227750395239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
