	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
1	73	Otu00073	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae	Unk_Monomastigaceae_A	Unk_Monomastigaceae_A
2	40	Otu00040	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella_sp
3	48	Otu00048	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella_sp
4	236	Otu00236	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella_sp
5	246	Otu00246	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Auxenochlorella	Auxenochlorella_protothecoides
6	45	Otu00045	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella_sp
7	169	Otu00169	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella_sp
8	369	Otu00369	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella_sp
9	37	Otu00037	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
10	51	Otu00051	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
11	60	Otu00060	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
12	78	Otu00078	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
13	157	Otu00157	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
14	160	Otu00160	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
15	305	Otu00305	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
16	309	Otu00309	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
17	321	Otu00321	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
18	364	Otu00364	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
19	390	Otu00390	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales	Unk_Chlorellales	Unk_Chlorellales
20	55	Otu00055	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Coccobotrys	Coccobotrys_mucosus
21	320	Otu00320	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Coccobotrys	Coccobotrys_mucosus
22	201	Otu00201	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	Dictyosphaerium_sp
23	354	Otu00354	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	Dictyosphaerium_sp
24	13	Otu00013	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Marvania	Marvania_sp
25	340	Otu00340	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Marvania	Marvania_sp
26	33	Otu00033	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Muriella	Muriella_terrestris
27	4	Otu00004	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	Nannochloris_normandinae
